,btc_open,btc_high,btc_low,btc_close,btc_volume,eth_open,eth_high,eth_low,eth_close,eth_volume,nasdaq_open,nasdaq_high,nasdaq_low,nasdaq_close,nasdaq_volume
2021-01-28 20:00:00,32564.71,33783.98,32392.34,33364.86,18820.098006,,,,,,13382.7,13408.6,13139.0,13167.7,0.0
2021-01-29 00:00:00,33368.18,34310.0,33330.93,33733.58,26746.707141,,,,,,13166.7,13199.0,13073.9,13080.8,0.0
2021-01-29 04:00:00,33728.99,33934.48,31915.4,32266.35,28364.158989,,,,,,13081.3,13099.5,12978.2,13016.6,0.0
2021-01-29 08:00:00,32266.36,37990.0,32006.91,37025.32,74717.370406,,,,,,13015.7,13087.1,12947.5,13008.1,0.0
2021-01-29 12:00:00,37023.83,38531.9,36456.78,37129.4,39582.779151,,,,,,13007.8,13179.7,12954.0,13143.9,0.0
2021-01-29 16:00:00,37129.4,37569.0,33500.0,34318.57,41001.26865,,,,,,13143.6,13170.2,12844.2,12869.4,0.0
2021-01-29 20:00:00,34322.5,35354.94,33700.0,34252.2,21414.721289,,,,,,12869.3,13032.3,12844.1,12882.3,0.0
2021-01-30 00:00:00,34246.28,34933.0,32825.0,33273.36,19111.756794,,,,,,12869.3,13032.3,12844.1,12882.3,0.0
2021-01-30 04:00:00,33273.36,34200.0,33001.52,34046.8,15377.313948,,,,,,12869.3,13032.3,12844.1,12882.3,0.0
2021-01-30 08:00:00,34046.82,34424.7,33510.0,33660.4,15905.5068,,,,,,12869.3,13032.3,12844.1,12882.3,0.0
2021-01-30 12:00:00,33660.4,34500.0,33410.63,34210.2,11980.511464,,,,,,12869.3,13032.3,12844.1,12882.3,0.0
2021-01-30 16:00:00,34210.18,34400.02,33520.0,34286.5,13229.455441,,,,,,12869.3,13032.3,12844.1,12882.3,0.0
2021-01-30 20:00:00,34286.5,34800.0,33966.4,34262.88,9285.136893,,,,,,12869.3,13032.3,12844.1,12882.3,0.0
2021-01-31 00:00:00,34262.89,34342.69,33655.0,33930.21,9135.958182,,,,,,12869.3,13032.3,12844.1,12882.3,0.0
2021-01-31 04:00:00,33930.22,34127.65,33450.0,33607.98,7736.688684,,,,,,12869.3,13032.3,12844.1,12882.3,0.0
2021-01-31 08:00:00,33607.68,33832.94,33205.0,33563.23,9660.993404,,,,,,12869.3,13032.3,12844.1,12882.3,0.0
2021-01-31 12:00:00,33563.24,34220.0,32554.0,32862.66,15985.658616,,,,,,12869.3,13032.3,12844.1,12882.3,0.0
2021-01-31 16:00:00,32862.65,33077.9,32171.67,32808.8,15824.566268,,,,,,12869.3,13032.3,12844.1,12882.3,0.0
2021-01-31 20:00:00,32807.29,33255.49,32461.23,33092.98,10398.41523,,,,,,12869.3,13032.3,12844.1,12882.3,0.0
2021-02-01 00:00:00,33092.97,33830.0,32296.16,33573.97,14674.649038,,,,,,12857.2,12889.8,12739.9,12862.9,0.0
2021-02-01 04:00:00,33573.25,34427.0,33284.24,33803.97,15350.212491,,,,,,12863.0,12994.5,12860.9,12987.5,0.0
2021-02-01 08:00:00,33802.6,34717.27,33589.23,34183.33,19521.507872,,,,,,12987.9,13073.4,12943.9,13057.6,0.0
